State,City,Avg_Sleepiness,People_Queried_About_Sleep,raw_Crashes_per_Year,Avg_Crash_Severity,Percent_Morning_Crashes,Percent_Evening_Crashes,Crashes_per_Year
AZ,Glendale,36.17%,109,16.25,2.123076923,56.92%,43.08%,0.149082568807339
CO,Aurora,32.38%,133,9.25,2.297297297,72.97%,27.03%,0.0695488721804511
IL,Joliet,34.90%,48,1,3,75.00%,25.00%,0.0208333333333333
LA,Baton Rouge,38.68%,69,41.25,1.987878788,37.58%,62.42%,0.597826086956522
LA,Lake Charles,41.66%,24,0.25,2,100.00%,100.00%,0.0104166666666667
LA,Shreveport,38.49%,63,13.25,2.094339623,28.30%,71.70%,0.21031746031746
NY,New York,40.45%,2142,24,2.239583333,66.67%,33.33%,0.0112044817927171
NC,Cary,30.07%,43,6,2.041666667,37.50%,62.50%,0.13953488372093
NC,Gastonia,37.62%,40,1.75,2.142857143,71.43%,28.57%,0.04375
NC,Raleigh,32.76%,99,52,2.057692308,59.13%,40.87%,0.525252525252525
OH,Toledo,43.86%,101,4.5,2.277777778,50.00%,50.00%,0.0445544554455446
OK,Oklahoma City,34.64%,220,18.75,2.186666667,92.00%,8.00%,0.0852272727272727
OR,Beaverton,31.16%,32,4.25,2.294117647,88.24%,11.76%,0.1328125
PA,Pittsburgh,40.45%,137,12.5,2.88,80.00%,20.00%,0.0912408759124088
RI,Providence,41.35%,41,10.5,2.238095238,85.71%,14.29%,0.25609756097561
SC,Columbia,36.60%,95,24.25,2.18556701,52.58%,47.42%,0.255263157894737
TN,Chattanooga,40.10%,59,21.5,2,52.33%,47.67%,0.364406779661017
TN,Nashville,39.93%,158,48,1.989583333,54.69%,45.31%,0.30379746835443
TX,Austin,29.74%,207,39.5,2.17721519,48.73%,51.27%,0.190821256038647
TX,Denton,30.74%,33,3.5,2.571428571,78.57%,21.43%,0.106060606060606
TX,El Paso,36.96%,138,14.5,1.793103448,56.90%,43.10%,0.105072463768116
TX,Garland,34.17%,55,2,2.375,50.00%,50.00%,0.0363636363636364
TX,Sugar Land,31.92%,22,0.5,3,50.00%,50.00%,0.0227272727272727
UT,Salt Lake City,30.17%,59,48.75,2.102564103,64.62%,35.38%,0.826271186440678
UT,West Valley City,33.26%,29,14.5,2.137931034,62.07%,37.93%,0.5
VA,Alexandria,31.14%,40,9,2.194444444,58.33%,41.67%,0.225
WA,Kent,33.51%,25,4.25,2.588235294,64.71%,35.29%,0.17
WA,Spokane,32.07%,62,1.5,2.5,66.67%,33.33%,0.0241935483870968
AL,Montgomery,38.60%,63,6.75,2.185185185,62.96%,37.04%,0.107142857142857
AL,Huntsville,38.22%,66,3.25,2.076923077,46.15%,53.85%,0.0492424242424242
AL,Birmingham,40.89%,100,9.75,2.307692308,41.03%,58.97%,0.0975
AL,Mobile,40.01%,80,5,2.5,55.00%,45.00%,0.0625
AZ,Chandler,34.76%,65,4.75,2,73.68%,26.32%,0.0730769230769231
AZ,Gilbert,34.79%,48,2.25,2.444444444,44.44%,55.56%,0.046875
AL,Tuscaloosa,39.69%,40,4,2,56.25%,43.75%,0.1
AZ,Avondale,38.04%,25,2,1.875,75.00%,25.00%,0.08
TX,Lubbock,35.21%,62,0.25,3,100.00%,100.00%,0.00403225806451613
TX,Odessa,32.80%,26,1.5,2,66.67%,33.33%,0.0576923076923077
AZ,Peoria,34.61%,90,1.75,1.714285714,85.71%,14.29%,0.0194444444444444
AZ,Mesa,35.41%,126,6.75,2.259259259,59.26%,40.74%,0.0535714285714286
AZ,Phoenix,37.41%,361,61.5,2.028455285,58.54%,41.46%,0.170360110803324
CA,Antioch,35.95%,22,14.5,2.155172414,70.69%,29.31%,0.659090909090909
AR,Fort Smith,35.12%,23,0.25,4,100.00%,100.00%,0.0108695652173913
AZ,Scottsdale,31.21%,66,8.25,2.363636364,72.73%,27.27%,0.125
CA,Alhambra,37.89%,22,4.75,2,68.42%,31.58%,0.215909090909091
CA,Anaheim,33.91%,80,35.25,2.085106383,65.96%,34.04%,0.440625
AZ,Tucson,34.12%,148,41,1.615853659,57.32%,42.68%,0.277027027027027
AR,Little Rock,37.31%,54,7.25,2.034482759,31.03%,68.97%,0.134259259259259
AZ,Tempe,34.84%,41,12,2.020833333,47.92%,52.08%,0.292682926829268
AR,Jonesboro,32.51%,18,0.75,2.5,100.00%,33.33%,0.0416666666666667
AZ,Yuma,31.15%,34,0.25,2,100.00%,100.00%,0.00735294117647059
AZ,Surprise,34.19%,33,3,2.083333333,50.00%,50.00%,0.0909090909090909
AR,Springdale,35.52%,18,0.25,2,100.00%,100.00%,0.0138888888888889
AR,Fayetteville,37.21%,74,3,2.75,66.67%,33.33%,0.0405405405405405
CA,Huntington Beach,30.64%,48,0.5,2,50.00%,50.00%,0.0104166666666667
CA,Buena Park,34.15%,20,6.25,2.04,52.00%,48.00%,0.3125
CA,Chico,32.85%,26,4.25,2.117647059,52.94%,47.06%,0.163461538461538
CA,Burbank,34.10%,25,9,2.166666667,61.11%,38.89%,0.36
CA,Chino,37.70%,20,9.25,2.108108108,62.16%,37.84%,0.4625
CA,Carlsbad,29.71%,23,6.25,2,56.00%,44.00%,0.271739130434783
CA,Corona,38.29%,37,35.75,2.090909091,54.55%,45.45%,0.966216216216216
CA,Bakersfield,37.16%,83,30.25,2.123966942,41.32%,58.68%,0.364457831325301
CA,Daly City,34.65%,22,3.75,2.266666667,80.00%,20.00%,0.170454545454545
CA,Chula Vista,34.16%,49,8.25,2.060606061,63.64%,36.36%,0.168367346938776
CA,Costa Mesa,31.88%,28,8.75,2.057142857,65.71%,34.29%,0.3125
